Source,Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),Slump(mm),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
Zhao et al [1],46.8,8.0,3,31.5,13,2.77,0.45,0.45,180,36,45,38.1,2.71
Zhao et al [1],46.8,8.0,7,31.5,5,3.34,0.45,0.45,180,36,110,42.2,2.81
Zhao et al [1],46.8,8.0,7,31.5,9,3.27,0.45,0.45,180,36,160,42.3,3.02
Zhao et al [1],46.8,8.0,7,31.5,13,2.77,0.45,0.45,180,36,45,41.7,2.95
Zhao et al [1],46.8,8.0,14,31.5,5,3.34,0.45,0.45,180,36,110,44.9,3.06
Zhao et al [1],46.8,8.0,14,31.5,9,3.27,0.45,0.45,180,36,160,44.8,3.05
Zhao et al [1],46.8,8.0,14,31.5,13,2.77,0.45,0.45,180,36,45,44.2,3.01
Zhao et al [1],46.8,8.0,28,31.5,5,3.34,0.45,0.45,180,36,110,54.2,3.46
Zhao et al [1],46.8,8.0,28,31.5,9,3.27,0.45,0.45,180,36,160,50.9,3.19
Zhao et al [1],46.8,8.0,28,31.5,13,2.77,0.45,0.45,180,36,45,51.5,3.37
Zhao et al [1],46.8,8.0,35,31.5,5,3.34,0.45,0.45,180,36,110,51.6,3.49
Zhao et al [1],46.8,8.0,35,31.5,9,3.27,0.45,0.45,180,36,160,52.3,3.34
Zhao et al [1],46.8,8.0,35,31.5,13,2.77,0.45,0.45,180,36,45,52.6,3.43
Zhao et al [1],46.8,8.0,42,31.5,5,3.34,0.45,0.45,180,36,110,53.7,3.54
Zhao et al [1],46.8,8.0,42,31.5,9,3.27,0.45,0.45,180,36,160,53.6,3.67
Zhao et al [1],46.8,8.0,42,31.5,13,2.77,0.45,0.45,180,36,45,54.0,3.56
Zhao et al [1],46.8,8.0,56,31.5,5,3.34,0.45,0.45,180,36,110,54.2,3.96
Zhao et al [1],46.8,8.0,56,31.5,9,3.27,0.45,0.45,180,36,160,54.3,3.81
Zhao et al [1],46.8,8.0,56,31.5,13,2.77,0.45,0.45,180,36,45,56.0,3.76
Zhao et al [1],46.8,8.0,70,31.5,5,3.34,0.45,0.45,180,36,110,55.3,4.12
Zhao et al [1],46.8,8.0,70,31.5,9,3.27,0.45,0.45,180,36,160,55.0,3.86
Zhao et al [1],46.8,8.0,70,31.5,13,2.77,0.45,0.45,180,36,45,56.5,3.78
Zhao et al [1],46.8,8.0,84,31.5,5,3.34,0.45,0.45,180,36,110,56.5,4.32
Zhao et al [1],46.8,8.0,84,31.5,9,3.27,0.45,0.45,180,36,160,58.3,4.27
Zhao et al [1],46.8,8.0,84,31.5,13,2.77,0.45,0.45,180,36,45,57.0,4.48
Zhao et al [1],46.8,8.0,98,31.5,5,3.34,0.45,0.45,180,36,110,58.0,4.47
Zhao et al [1],46.8,8.0,98,31.5,9,3.27,0.45,0.45,180,36,160,58.8,4.31
Zhao et al [1],46.8,8.0,98,31.5,13,2.77,0.45,0.45,180,36,45,57.2,4.52
Zhao et al [1],46.8,8.0,118,31.5,5,3.34,0.45,0.45,180,36,110,59.7,4.61
Zhao et al [1],46.8,8.0,118,31.5,9,3.27,0.45,0.45,180,36,160,63.7,4.38
Zhao et al [1],46.8,8.0,118,31.5,13,2.77,0.45,0.45,180,36,45,63.0,4.48
Zhao et al [1],46.8,8.0,148,31.5,5,3.34,0.45,0.45,180,36,110,62.4,4.47
Zhao et al [1],46.8,8.0,148,31.5,9,3.27,0.45,0.45,180,36,160,64.1,4.27
Zhao et al [1],46.8,8.0,148,31.5,13,2.77,0.45,0.45,180,36,45,65.0,4.69
Zhao et al [1],46.8,8.0,178,31.5,5,3.34,0.45,0.45,180,36,110,63.1,4.45
Zhao et al [1],46.8,8.0,178,31.5,9,3.27,0.45,0.45,180,36,160,64.3,4.07
Zhao et al [1],46.8,8.0,178,31.5,13,2.77,0.45,0.45,180,36,45,66.2,4.29
Zhao et al [1],46.8,8.0,208,31.5,5,3.34,0.45,0.45,180,36,110,63.6,4.32
Zhao et al [1],46.8,8.0,208,31.5,9,3.27,0.45,0.45,180,36,160,65.1,4.41
Zhao et al [1],46.8,8.0,208,31.5,13,2.77,0.45,0.45,180,36,45,67.0,4.31
Zhao et al [1],46.8,8.0,238,31.5,5,3.34,0.45,0.45,180,36,110,64.4,4.26
Zhao et al [1],46.8,8.0,238,31.5,9,3.27,0.45,0.45,180,36,160,67.8,4.09
Zhao et al [1],46.8,8.0,238,31.5,13,2.77,0.45,0.45,180,36,45,68.7,4.24
Zhao et al [1],46.8,8.0,268,31.5,5,3.34,0.45,0.45,180,36,110,65.4,4.19
Zhao et al [1],46.8,8.0,268,31.5,9,3.27,0.45,0.45,180,36,160,68.3,4.29
Zhao et al [1],46.8,8.0,268,31.5,13,2.77,0.45,0.45,180,36,45,69.2,4.25
Zhao et al [1],46.8,8.0,298,31.5,5,3.34,0.45,0.45,180,36,110,67.1,4.21
Zhao et al [1],46.8,8.0,298,31.5,9,3.27,0.45,0.45,180,36,160,70.8,4.04
Zhao et al [1],46.8,8.0,298,31.5,13,2.77,0.45,0.45,180,36,45,71.2,4.35
Zhao et al [1],46.8,8.0,328,31.5,5,3.34,0.45,0.45,180,36,110,67.6,4.43
Zhao et al [1],46.8,8.0,328,31.5,9,3.27,0.45,0.45,180,36,160,71.1,4.11
Zhao et al [1],46.8,8.0,328,31.5,13,2.77,0.45,0.45,180,36,45,71.4,4.30
Zhao et al [1],46.8,8.0,358,31.5,5,3.34,0.45,0.45,180,36,110,67.8,4.45
Zhao et al [1],46.8,8.0,358,31.5,9,3.27,0.45,0.45,180,36,160,71.5,4.22
Zhao et al [1],46.8,8.0,358,31.5,13,2.77,0.45,0.45,180,36,45,72.0,4.35
Zhao et al [1],46.8,8.0,388,31.5,5,3.34,0.45,0.45,180,36,110,68.2,4.52
Zhao et al [1],46.8,8.0,388,31.5,9,3.27,0.45,0.45,180,36,160,71.9,4.31
Zhao et al [1],46.8,8.0,388,31.5,13,2.77,0.45,0.45,180,36,45,72.4,4.41
Zhao et al [1],46.8,8.0,3,31.5,5,3.34,0.40,0.40,185,34,30,42.7,2.96
Zhao et al [1],46.8,8.0,3,31.5,9,3.27,0.40,0.40,185,34,60,39.7,2.64
Zhao et al [1],46.8,8.0,3,31.5,13,2.77,0.40,0.40,185,34,50,34.0,2.39
Zhao et al [1],46.8,8.0,7,31.5,5,3.34,0.40,0.40,185,34,30,49.4,3.08
Zhao et al [1],46.8,8.0,7,31.5,9,3.27,0.40,0.40,185,34,60,49.7,3.39
Zhao et al [1],46.8,8.0,7,31.5,13,2.77,0.40,0.40,185,34,50,43.6,3.11
Zhao et al [1],46.8,8.0,14,31.5,5,3.34,0.40,0.40,185,34,30,51.9,3.41
Zhao et al [1],46.8,8.0,14,31.5,9,3.27,0.40,0.40,185,34,60,51.4,3.45
Zhao et al [1],46.8,8.0,14,31.5,13,2.77,0.40,0.40,185,34,50,43.8,3.45
Zhao et al [1],46.8,8.0,28,31.5,5,3.34,0.40,0.40,185,34,30,52.9,3.67
Zhao et al [1],46.8,8.0,28,31.5,9,3.27,0.40,0.40,185,34,60,61.7,3.52
Zhao et al [1],46.8,8.0,28,31.5,13,2.77,0.40,0.40,185,34,50,57.7,3.75
Zhao et al [1],46.8,8.0,42,31.5,5,3.34,0.40,0.40,185,34,30,64.0,3.94
Zhao et al [1],46.8,8.0,42,31.5,9,3.27,0.40,0.40,185,34,60,62.5,3.81
Zhao et al [1],46.8,8.0,42,31.5,13,2.77,0.40,0.40,185,34,50,60.6,3.79
Zhao et al [1],46.8,8.0,56,31.5,5,3.34,0.40,0.40,185,34,30,65.0,3.97
Zhao et al [1],46.8,8.0,56,31.5,9,3.27,0.40,0.40,185,34,60,64.0,4.03
Zhao et al [1],46.8,8.0,56,31.5,13,2.77,0.40,0.40,185,34,50,61.2,3.99
Zhao et al [1],46.8,8.0,84,31.5,5,3.34,0.40,0.40,185,34,30,66.9,4.02
Zhao et al [1],46.8,8.0,84,31.5,9,3.27,0.40,0.40,185,34,60,64.6,4.42
Zhao et al [1],46.8,8.0,84,31.5,13,2.77,0.40,0.40,185,34,50,63.0,4.35
Zhao et al [1],46.8,8.0,118,31.5,5,3.34,0.40,0.40,185,34,30,67.3,4.37
Zhao et al [1],46.8,8.0,118,31.5,9,3.27,0.40,0.40,185,34,60,65.0,4.47
Zhao et al [1],46.8,8.0,118,31.5,13,2.77,0.40,0.40,185,34,50,64.0,4.03
Zhao et al [1],46.8,8.0,178,31.5,5,3.34,0.40,0.40,185,34,30,68.0,4.68
Zhao et al [1],46.8,8.0,178,31.5,9,3.27,0.40,0.40,185,34,60,69.6,4.33
Zhao et al [1],46.8,8.0,178,31.5,13,2.77,0.40,0.40,185,34,50,67.8,3.99
Zhao et al [1],46.8,8.0,238,31.5,5,3.34,0.40,0.40,185,34,30,73.0,4.55
Zhao et al [1],46.8,8.0,238,31.5,9,3.27,0.40,0.40,185,34,60,71.0,4.02
Zhao et al [1],46.8,8.0,238,31.5,13,2.77,0.40,0.40,185,34,50,68.0,4.05
Zhao et al [1],46.8,8.0,298,31.5,5,3.34,0.40,0.40,185,34,30,74.1,4.59
Zhao et al [1],46.8,8.0,298,31.5,9,3.27,0.40,0.40,185,34,60,77.9,4.11
Zhao et al [1],46.8,8.0,298,31.5,13,2.77,0.40,0.40,185,34,50,70.6,4.18
Zhao et al [1],46.8,8.0,358,31.5,5,3.34,0.40,0.40,185,34,30,74.6,4.51
Zhao et al [1],46.8,8.0,358,31.5,9,3.27,0.40,0.40,185,34,60,78.2,4.24
Zhao et al [1],46.8,8.0,358,31.5,13,2.77,0.40,0.40,185,34,50,73.1,4.34
Li et al. [2],38.2,6.9,28,25,3,3.19,0.47,0.47,190,36,22,47.1,2.95
Li et al. [2],38.2,6.9,28,25,5,3.19,0.47,0.47,190,36,16,40.7,3.16
Li et al. [2],38.2,6.9,28,25,7,3.19,0.47,0.47,190,36,28,44.3,3.44
Li et al. [2],38.2,6.9,28,25,10,3.19,0.47,0.47,190,36,11,45.9,3.57
Li et al. [2],38.2,6.9,28,25,13,3.19,0.47,0.47,190,36,17,43.4,3.60
Li et al. [2],38.2,6.9,28,25,16,3.19,0.47,0.47,190,36,12,44.3,3.58
Li et al. [2],47.7,8.7,28,25,3,3.19,0.32,0.32,170,30,20,69.6,4.00
Li et al. [2],47.7,8.7,28,25,5,3.19,0.32,0.32,170,30,11,71.6,4.10
Li et al. [2],47.7,8.7,28,25,7,3.19,0.32,0.32,170,30,13,74.7,4.34
Li et al. [2],47.7,8.7,28,25,10,3.19,0.32,0.32,170,30,35,69.8,3.90
Li et al. [2],47.7,8.7,28,25,13,3.19,0.32,0.32,170,30,20,69.8,4.37
Li et al. [2],47.7,8.7,28,25,16,3.19,0.32,0.32,170,30,18,70.1,4.20
Li et al. [2],47.7,8.7,28,25,5,3.19,0.44,0.44,180,32,85,57,3.68
Li et al. [2],47.7,8.7,28,25,7,3.19,0.44,0.44,180,32,108,59.6,3.91
Li et al. [2],47.7,8.7,28,25,10,3.19,0.44,0.44,180,32,75,56.7,4.11
Li et al. [2],47.7,8.7,28,25,13,3.19,0.44,0.44,180,32,80,57.0,3.42
Li et al. [2],47.7,8.7,28,25,16,3.19,0.44,0.44,180,32,60,56.2,2.86
Li et al. [2],46.3,8.4,28,25,5,3.19,0.56,0.56,170,42,135,42.9,3.34
Li et al. [2],46.3,8.4,28,25,9,3.19,0.56,0.56,170,42,80,43.8,3.31
Li et al. [2],46.3,8.4,28,25,13,3.19,0.56,0.56,170,42,50,43.9,2.76
Li et al. [2],46.3,8.4,28,25,5,3.19,0.45,0.45,185,34,70,48.7,3.11
Li et al. [2],46.3,8.4,28,25,9,3.19,0.45,0.45,185,34,160,50.1,3.51
Li et al. [2],46.3,8.4,28,25,13,3.19,0.45,0.45,185,34,100,56.3,4.61
Li et al. [2],46.3,8.4,28,25,5,3.19,0.4,0.4,190,32,150,55.6,4.19
Li et al. [2],46.3,8.4,28,25,9,3.19,0.4,0.4,190,32,170,60.7,4.33
Li et al. [2],46.3,8.4,28,25,13,3.19,0.4,0.4,190,32,175,57.2,2.45
Li et al. [2],46.3,8.4,28,25,5,3.19,0.32,0.32,175,28,50,70.9,3.95
Li et al. [2],46.3,8.4,28,25,9,3.19,0.32,0.32,175,28,110,68.1,4.23
Li et al. [2],46.3,8.4,28,25,13,3.19,0.32,0.32,175,28,100,66.7,5.45
Li et al. [2],38.2,6.9,28,26.5,3,3.23,0.47,0.47,190,36,12,40.3,3.32
Li et al. [2],38.2,6.9,28,26.5,7,3.23,0.47,0.47,190,36,19,38.7,3.14
Li et al. [2],38.2,6.9,28,26.5,13,3.23,0.47,0.47,190,36,15,40.7,2.96
Li et al. [2],47.7,8.7,28,26.5,3,3.23,0.44,0.44,180,32,75,50.4,3.65
Li et al. [2],47.7,8.7,28,26.5,7,3.23,0.44,0.44,180,32,83,50.3,3.88
Li et al. [2],47.7,8.7,28,26.5,13,3.23,0.44,0.44,180,32,60,55.4,4.08
Li et al. [2],47.7,8.7,28,26.5,3,3.23,0.32,0.32,170,30,11,62.6,4.57
Li et al. [2],47.7,8.7,28,26.5,7,3.23,0.32,0.32,170,30,15,63.1,5.16
Li et al. [2],47.7,8.7,28,26.5,13,3.23,0.32,0.32,170,30,18,59.9,5.32
Li et al. [2],48.2,8.4,28,26.5,5,3.23,0.55,0.55,160,38,115,43.4,2.96
Li et al. [2],48.2,8.4,28,26.5,9,3.23,0.55,0.55,160,38,125,44.2,3.45
Li et al. [2],48.2,8.4,28,26.5,13,3.23,0.55,0.55,160,38,22,43.2,3.20
Li et al. [2],48.2,8.4,28,26.5,5,3.23,0.44,0.44,170,34,30,55,3.30
Li et al. [2],48.2,8.4,28,26.5,9,3.23,0.44,0.44,170,34,135,52.4,3.47
Li et al. [2],48.2,8.4,28,26.5,13,3.23,0.44,0.44,170,34,90,53.5,3.18
Li et al. [2],48.2,8.4,28,26.5,5,3.23,0.36,0.36,170,32,95,59.9,3.51
Li et al. [2],48.2,8.4,28,26.5,9,3.23,0.36,0.36,170,32,85,57.2,5.24
Li et al. [2],48.2,8.4,28,26.5,13,3.23,0.36,0.36,170,32,70,59.6,4.53
Li et al. [2],48.2,8.4,28,26.5,5,3.23,0.31,0.31,170,30,35,68.2,3.62
Li et al. [2],48.2,8.4,28,26.5,9,3.23,0.31,0.31,170,30,20,68.3,3.99
Li et al. [2],48.2,8.4,28,26.5,13,3.23,0.31,0.31,170,30,25,66,4.36
Li et al. [2],46.3,8.4,28,26.5,6.75,3.19,0.56,0.56,170,42,-,39.2,3.47
Li et al. [2],46.3,8.4,28,26.5,6.75,3.19,0.44,0.44,180,32,-,50.1,3.77
Li et al. [2],46.3,8.4,28,26.5,6.75,3.19,0.32,0.32,170,28,-,59.1,4.31
Chai et al. [3],48.3,7.4,28,25,7.5,2.9,0.51,1.01,222,45,-,57.0,2.87
"He et al. [4, 5]",-,-,28,30,4.3,3.0,0.25,0.33,150,41,-,74.4,5.41
"He et al. [4,5]",-,-,60,30,4.3,3.0,0.25,0.33,150,41,-,84.5,6.37
"He et al. [4,5]",-,-,90,30,4.3,3.0,0.25,0.33,150,41,-,94.1,6.50
"He et al. [4,5]",-,-,120,30,4.3,3.0,0.25,0.33,150,41,-,100.5,6.65
Jiang [6],-,-,28,31.5,5.8,3.1,0.42,0.42,185,36,36,38.3,3.04
Jiang [6],-,-,28,31.5,5.8,3.1,0.44,0.44,185,36,40,36.2,2.75
Jiang [6],-,-,28,31.5,5.8,3.1,0.46,0.46,185,36,43,34.2,2.60
Jiang [6],-,-,28,31.5,5.8,3.1,0.42,0.42,185,32,25,35.9,2.42
Jiang [6],-,-,28,31.5,5.8,3.1,0.42,0.42,185,40,40,37.3,3.24
Li et al [7],-,-,28,-,-,-,0.45,0.45,180,39,205,47.4,4.98
Li et al [7],-,-,28,-,-,-,0.5,0.5,180,39,205,45.3,4.68
Li et al [7],-,-,28,-,-,-,0.55,0.55,180,40,200,41.7,4.5
Li and Zhang [8],-,-,28,-,4.3,2.86,-,-,-,-,-,35.8,1.63
Li and Zhang [8],-,-,28,-,7.5,3.04,-,-,-,-,-,36.5,1.77
Li and Zhang [8],-,-,28,-,10.8,2.76,-,-,-,-,-,37.8,1.84
Li and Zhang [8],-,-,28,-,19.2,2.35,-,-,-,-,-,34.3,1.72
Shi [9],35.5,7.2,28,30,14.2,2.2,0.57,0.57,178,35,20,27.9,1.97
Shi [9],35.5,7.2,28,30,14.2,2.2,0.64,0.64,178,35,20,24.7,2.05
Shi [9],35.5,7.2,28,30,14.2,2.2,0.69,0.69,178,35,20,22.8,2.11
Wang and Xu [10],-,-,28,20,13,3.55,0.59,0.59,203,40,70,43.1,2.65
Wang and Xu [10],-,-,28,20,7.8,3.55,0.63,0.63,241,40,140,38.9,2.18
Wang and Xu [10],-,-,28,20,16.3,3.55,0.56,0.56,185,39,100,39.0,2.87
Wang and Xu [10],-,-,28,20,11.3,3.55,0.47,0.47,196,43,60,49.0,2.19
Yang [11],63.4,10.2,28,16,3,3.5,0.25,0.48,150,37,240,94.3,6.2
Yang [11],63.4,10.2,28,16,5,3.5,0.25,0.48,150,37,225,94.6,6.4
Yang [11],63.4,10.2,28,16,7,3.5,0.25,0.48,150,37,220,96.3,5.4
Yang [11],63.4,10.2,28,16,10,3.5,0.25,0.48,150,37,180,91.0,5.6
Zhang [12],55.6,8.91,1,20,19.4,2.80,0.28,0.40,180,45,-,4.23,0.6
Zhang [12],55.6,8.91,3,20,19.4,2.80,0.28,0.40,180,45,-,14.9,1.35
Zhang [12],55.6,8.91,7,20,19.4,2.80,0.28,0.40,180,45,-,28.3,2.24
Zhang [12],55.6,8.91,14,20,19.4,2.80,0.28,0.40,180,45,-,40.9,3.01
Zhang [12],55.6,8.91,28,20,19.4,2.80,0.28,0.40,180,45,-,50.8,3.64
Zhang [12],55.6,8.91,60,20,19.4,2.80,0.28,0.40,180,45,-,59.5,4.32
Zhang [12],55.6,8.91,90,20,19.4,2.80,0.28,0.40,180,45,-,65.4,4.43
Lu [13],-,-,28,40,7.1*,-,0.45,0.56,109,36,85,24.8,1.98
Lu [13],-,-,28,40,9.1*,-,0.45,0.56,111,36,86,28.1,2.23
Lu [13],-,-,28,40,11.2*,-,0.45,0.56,113,36,83,29.8,2.41
Lu [13],-,-,28,40,13.3*,-,0.45,0.56,116,36,85,31.5,2.47
Lu [13],-,-,28,40,15.5*,-,0.45,0.56,119,36,90,34,2.65
Lu [13],-,-,28,40,17.8*,-,0.45,0.56,122,36,88,33.2,2.68
Lu [13],-,-,28,40,20.0*,-,0.45,0.56,124,36,87,32.8,2.54
Lu [13],-,-,28,40,22.1*,-,0.45,0.56,126,36,85,31.6,2.37
Lu [13],-,-,28,40,7.1*,-,0.45,0.56,129,42,171,24.1,2.01
Lu [13],-,-,28,40,9.1*,-,0.45,0.56,131,42,177,27.5,2.36
Lu [13],-,-,28,40,11.2*,-,0.45,0.56,133,42,182,29,2.37
Lu [13],-,-,28,40,13.3*,-,0.45,0.56,136,42,176,30.9,2.41
Lu [13],-,-,28,40,15.5*,-,0.45,0.56,139,42,175,33.7,2.47
Lu [13],-,-,28,40,17.8*,-,0.45,0.56,142,42,179,32.4,2.56
Lu [13],-,-,28,40,20.0*,-,0.45,0.56,144,42,180,31.2,2.52
Lu [13],-,-,28,40,22.1*,-,0.45,0.56,146,42,173,30.9,2.41
Li et al. [14],-,-,7,40,6*,-,0.36,0.48,126,35,50,24.6,1.95
Li et al. [14],-,-,7,40,9*,-,0.36,0.48,128,34,45,25.3,2.25
Li et al. [14],-,-,7,40,12*,-,0.36,0.48,130,34,60,25.0,2.09
Li et al. [14],-,-,7,40,15*,-,0.36,0.48,131,33,55,24.8,1.97
Li et al. [14],-,-,7,40,18*,-,0.36,0.48,135,33,60,26.1,2.29
Li et al. [14],-,-,28,40,6*,-,0.36,0.48,126,35,50,40.1,3.13
Li et al. [14],-,-,28,40,9*,-,0.36,0.48,128,34,45,41.8,2.88
Li et al. [14],-,-,28,40,12*,-,0.36,0.48,130,34,60,41.4,3.03
Li et al. [14],-,-,28,40,15*,-,0.36,0.48,131,33,55,41.3,3.21
Li et al. [14],-,-,28,40,18*,-,0.36,0.48,135,33,60,41.1,3.07
Li et al. [14],-,-,90,40,6*,-,0.36,0.48,126,35,50,55.1,3.82
Li et al. [14],-,-,90,40,9*,-,0.36,0.48,128,34,45,56.1,3.90
Li et al. [14],-,-,90,40,12*,-,0.36,0.48,130,34,60,51.0,3.79
Li et al. [14],-,-,90,40,15*,-,0.36,0.48,131,33,55,51.5,3.77
Li et al. [14],-,-,90,40,18*,-,0.36,0.48,135,33,60,53.2,4.12
Li et al. [14],-,-,180,40,6*,-,0.36,0.48,126,35,50,54.8,3.97
Li et al. [14],-,-,180,40,9*,-,0.36,0.48,128,34,45,61.6,4.45
Li et al. [14],-,-,180,40,12*,-,0.36,0.48,130,34,60,54.6,4.51
Li et al. [14],-,-,180,40,15*,-,0.36,0.48,131,33,55,54.8,4.02
Li et al. [14],-,-,180,40,18*,-,0.36,0.48,135,33,60,58.8,4.5
Chen [15],52.5,8.8,3,20,5.4,3.11,0.37,0.44,166,44,185,19.0,1.6
Chen [15],52.5,8.8,7,20,5.4,3.11,0.37,0.44,166,44,185,31.5,2.4
Chen [15],52.5,8.8,28,20,5.4,3.11,0.37,0.44,166,44,185,45.8,2.6
Chen [15],52.5,8.8,56,20,5.4,3.11,0.37,0.44,166,44,185,53.0,3.6
Chen [15],52.5,8.8,3,20,5.4,3.11,0.34,0.34,158,42,105,48.2,3.6
Chen [15],52.5,8.8,7,20,5.4,3.11,0.34,0.34,158,42,105,56.6,3.8
Chen [15],52.5,8.8,28,20,5.4,3.11,0.34,0.34,158,42,105,69.1,4.0
Chen [15],52.5,8.8,56,20,5.4,3.11,0.34,0.34,158,42,105,69.4,4.4
Lin [16],52.7,9.0,3,31.5,6.6,2.94,0.42,0.42,185,36,35,23.4,2.03
Lin [16],52.7,9.0,28,31.5,6.6,2.94,0.42,0.42,185,36,35,35.6,3.04
Lin [16],52.7,9.0,3,31.5,6.6,2.94,0.44,0.44,185,36,41,23.7,1.93
Lin [16],52.7,9.0,28,31.5,6.6,2.94,0.44,0.44,185,36,41,32.2,2.74
Lin [16],52.7,9.0,3,31.5,6.6,2.94,0.46,0.46,185,36,42,22.5,2.09
Lin [16],52.7,9.0,28,31.5,6.6,2.94,0.46,0.46,185,36,42,34.2,2.59
Lin [16],52.7,9.0,3,31.5,6.6,2.94,0.42,0.42,185,32,25,23.6,1.69
Lin [16],52.7,9.0,28,31.5,6.6,2.94,0.42,0.42,185,32,25,35.8,2.43
Lin [16],52.7,9.0,3,31.5,6.6,2.94,0.44,0.44,185,34,33,25.2,1.52
Lin [16],52.7,9.0,28,31.5,6.6,2.94,0.44,0.44,185,34,33,38.3,2.6
Lin [16],52.7,9.0,3,31.5,6.6,2.94,0.46,0.46,185,36,40,23.3,1.80
Lin [16],52.7,9.0,28,31.5,6.6,2.94,0.46,0.46,185,36,40,37.2,3.24
Lin [17],43.7,7.5,3,25,0.4,2.3,0.3,0.425,153,41,220,46.3,3.04
Lin [17],43.7,7.5,7,25,0.4,2.3,0.3,0.425,153,41,220,58.5,3.53
Lin [17],43.7,7.5,28,25,0.4,2.3,0.3,0.425,153,41,220,72.7,4.15
